_RAJ2000,_DEJ2000,RAhms,DEdms,pc,HIP_2,HD_2,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_2,Mbol,log(L/Lsun),Habex,HIP_2a,L-A,L-B,Hab,SR1,SR3,lists_2,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_2b,Teff,HD_2a,notes,K,eTeff,ref_Teff,BCv_2a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_2a,Sample,Name,solRad
249.08937,-2.3245835,16 36 21.18,-02 19 25.8,9.92,HIP_81300_,HD_149661_,5.77,0.827,0.012,100.8111,0.0788,GaiaDR2,5.79,Sun-like,K0V(k),2006AJ....132..161G,-0.19,5.6,-0.343,44,HIP_81300_,1,1,2,0,0,4,-4.583,Baliunas96,1.6,Glebocki05,0.87,K0V(k),HIP_81300_,1,HD_149661_,active,5248,38,2013ApJ...764...78R,,4.55,0.02,2013ApJ...764...78R,0.01,0.07,2013ApJ...764...78R,0.815,0,1,2,1,4,MUST,HIP_81300,0.772800914445948
128.21457,-31.500853,08 32 52.26,-31 30 09.7,12.182,HIP_41926_,HD_72673_,6.38,0.78,0.01,82.09,0.0294,GaiaDR2,5.95,Sun-like,K1V,1989ApJS...71..245K,-0.23,5.72,-0.393,68,HIP_41926_,1,1,1,0,0,3,-4.946,Isaacson10,1.8,Glebocki05,0.85,K1V,HIP_41926_,1,HD_72673_,quiet,5243,22,2008A&A...487..373S,,4.46,0.04,2008A&A...487..373S,-0.41,0.01,2008A&A...487..373S,0.771,0,1,2,1,3,MUST,HIP_41926,0.950752831098101
32.60806,-50.823723,02 10 24.00,-50 49 31.1,10.787,HIP_10138_,HD_13445_,6.12,0.812,0.015,92.7042,0.0454,GaiaDR2,5.96,Sun-like,K1.5V,1989ApJS...71..245K,-0.245,5.71,-0.388,_,HIP_10138_,1,1,0,0,0,2,-4.74,Henry96,1.9,Glebocki05,0.82,K1.5V,HIP_10138_,1,HD_13445_,active,5217,37,2013ApJ...764...78R,,4.56,0.02,2013ApJ...764...78R,-0.23,0.05,2013ApJ...764...78R,0.783,0,1,2,1,2,MUST,HIP_10138,0.755209817985267
49.553413,-62.506363,03 18 11.14,-62 30 28.6,12.046,HIP_15371_,HD_20807_,5.24,0.6,0.009,83.0122,0.1888,GaiaDR2,4.84,Sun-like,G1V,1989ApJS...71..245K,-0.075,4.76,-0.008,66,HIP_15371_,1,1,1,0,0,3,-4.787,Henry96,2.7,Glebocki05,1.07,G1V,HIP_15371_,1,HD_20807_,slightly active,5852,49,2013ApJ...764...78R,,4.43,0.02,2013ApJ...764...78R,-0.25,0.05,2013ApJ...764...78R,0.964,0,1,2,1,3,MUST,HIP_15371,1.01875001303093
39.02039,6.8868704,02 36 03.83,+06 53 00.1,7.235,HIP_12114_,HD_16160_,5.79,0.918,0.019,138.2084,0.1436,GaiaDR2,6.49,Sun-like,K3V,1989ApJS...71..245K,-0.37,6.12,-0.553,22,HIP_12114_,1,1,2,0,0,4,-4.958,Baliunas96,1.3,Glebocki05,0.75,K3V,HIP_12114_,1,HD_16160_,quiet,4829,6,2012A&A...547A.106M,,4.6,0.2,2012A&A...547A.106M,-0.16,0.05,2012A&A...547A.106M,0.756,0,1,2,1,4,MUST,HIP_12114,0.688759539990568
55.81209,-9.763394,03 43 14.96,-09 45 54.7,9.041,HIP_17378_,HD_23249_,3.52,0.915,0.018,110.61,0.22,HIP2,3.74,Sun-like,K0+IV,1989ApJS...71..245K,-0.19,3.55,0.476,36,HIP_17378_,1,1,2,0,0,4,-5.184,Baliunas96,1,Glebocki05,0.87,K0+IV,HIP_17378_,0,HD_23249_,quiet,5144,33,2015A&A...574A..50J,,3.95,0.05,2015A&A...574A..50J,0.0,0.04,2015A&A...574A..50J,2.179,0,1,2,1,4,MUST,HIP_17378,3.07657585451231
336.23495,-57.797417,22 24 56.19,-57 47 47.8,20.454,HIP_110649_,HD_212330_,5.31,0.665,0.012,48.8901,0.1153,GaiaDR2,3.76,Sun-like,G2IV-V,2006AJ....132..161G,-0.085,3.67,0.428,_,HIP_110649_,1,1,0,0,0,2,-5.07,Henry96,1.8,Glebocki05,1.02,G2IV-V,HIP_110649_,1,HD_212330_,quiet,5739,44,2005ApJS..159..141V,,4.15,0.06,2005ApJS..159..141V,0.05,0.03,2005ApJS..159..141V,1.655,0,1,2,1,2,MUST,HIP_110649,1.94118813125497
34.74377,-25.945688,02 18 58.65,-25 56 48.4,12.834,HIP_10798_,HD_14412_,6.33,0.724,0.003,77.9153,0.0602,GaiaDR2,5.79,Sun-like,G8V,2006AJ....132..161G,-0.14,5.65,-0.363,75,HIP_10798_,1,1,1,0,0,3,-4.85,Wright04,2.7,Glebocki05,0.94,G8V,HIP_10798_,1,HD_14412_,slightly active,5476,66,2013ApJ...764...78R,,4.61,0.03,2013ApJ...764...78R,-0.45,0.05,2013ApJ...764...78R,0.731,0,1,2,1,3,MUST,HIP_10798,0.673081458767184
298.8283,6.4067636,19 55 18.77,+06 24 28.6,13.699,HIP_98036_,HD_188512_,3.71,0.855,0.007,73.0,0.2,HIP2,3.03,Sun-like,G8IV,1989ApJS...71..245K,-0.14,2.89,0.741,79,HIP_98036_,1,1,1,0,0,3,-5.173,Baliunas96,2.7,Glebocki05,0.94,G8IV,HIP_98036_,1,HD_188512_,quiet,5223,26,2015A&A...574A..50J,,3.86,0.04,2015A&A...574A..50J,-0.17,0.05,2015A&A...574A..50J,2.867,0,1,2,1,3,MUST,HIP_98036,3.78501519484192
12.095738,5.280615,00 48 22.53,+05 17 00.2,7.435,HIP_3765_,HD_4628_,5.74,0.89,0.008,134.499,0.089,GaiaDR2,6.38,Sun-like,K2V,2003AJ....126.2048G,-0.26,6.12,-0.553,23,HIP_3765_,1,1,2,0,0,4,-4.852,Baliunas96,1.8,Glebocki05,0.78,K2V,HIP_3765_,1,HD_4628_,slightly active,5015,58,2013ApJ...764...78R,,4.6,0.02,2013ApJ...764...78R,-0.31,0.05,2013ApJ...764...78R,0.7,0,1,2,1,4,MUST,HIP_3765,0.688759539990568
