Day,Mauna Kea,Kitt Peak,Calar Alto,Las Campanas,Sutherland,Siding Spring
32,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
33,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
34,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
35,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
36,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
37,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
38,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
39,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
40,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
41,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
42,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
43,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
44,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
45,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
46,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
47,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
48,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
49,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
50,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
51,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
52,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
53,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
54,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
55,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
56,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
57,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
58,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
59,0.66999996,0.5176634,0.404339250493097,0.972514147130154,0.537837837837838,0.65
60,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
61,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
62,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
63,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
64,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
65,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
66,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
67,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
68,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
69,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
70,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
71,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
72,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
73,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
74,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
75,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
76,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
77,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
78,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
79,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
80,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
81,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
82,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
83,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
84,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
85,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
86,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
87,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
88,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
89,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
90,0.72,0.6640001,0.398422090729783,0.920845272206304,0.537837837837838,0.65
91,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
92,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
93,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
94,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
95,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
96,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
97,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
98,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
99,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
100,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
101,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
102,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
103,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
104,0.72,0.6998106,0.378698224852071,0.812016218208625,0.537837837837838,0.65
