Day,Month,CTIO,CalarAlto1,CalarAlto2,KPNO,LaSilla,Magellan,MaunaKea,MMT,SSO,Sutherland,WIYN
140,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
141,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
142,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
143,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
144,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
145,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
146,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
147,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
148,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
149,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
150,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
151,5,0.71,0.398550724637681,0.366863905325444,0.77,0.730050323508267,0.761688406705966,0.78499997,0.875259875259875,0.65,0.537837837837838,0.7829793
152,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
153,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
154,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
155,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
156,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
157,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
158,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
159,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
160,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
161,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
162,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
163,6,0.67,0.530797101449275,0.611439842209073,0.83,0.697373905794081,0.761688406705966,0.8,0.846153846153846,0.65,0.537837837837838,0.7181318
