Date__(UT)__HR:MN,R.A._(ICRF),DEC__(ICRF),R.A.__(a-app),DEC_(a-app),APmag,Ang-diam,delta,deldot,S-T-O,Cnst,N.Pole-RA,N.Pole-DC
1794-May-01 12:00, 14 09 47.10, -12 08 52.9, 13 58 46.41, -11 09 59.9, -1.687, 16.4951, 0.56776239, 0.0017216, 6.2504, Vir, 317.90432, 53.0132
1796-Jun-23 00:00, 17 37 13.69, -27 23 43.8, 17 24 29.08, -27 15 04.3, -2.45, 21.36708, 0.43830511, -0.026817, 7.5461, Oph, 317.90236, 53.01189
1798-Aug-29 06:00, 23 04 42.18, -12 55 33.8, 22 54 07.10, -14 00 29.2, -2.898, 24.95103, 0.37534727, -0.0304896, 5.3189, Aqr, 317.89961, 53.01074
1800-Oct-31 18:00, 03 19 40.95, +17 44 09.1, 03 08 27.30, +17 00 14.2, -2.167, 19.63131, 0.47705932, -0.0286849, 7.6409, Ari, 317.89709, 53.00908
1802-Dec-19 12:00, 06 33 40.78, +26 30 11.9, 06 21 26.54, +26 38 12.2, -1.639, 15.63923, 0.59883376, -0.0400928, 5.2845, Gem, 317.89512, 53.00778
1805-Jan-27 18:00, 09 05 55.64, +21 21 34.8, 08 54 45.89, +22 07 34.4, -1.379, 14.03107, 0.66746858, -0.0436276, 3.073, Cnc, 317.89284, 53.00667
1807-Mar-06 18:00, 11 10 39.62, +09 46 30.6, 11 00 38.41, +10 48 53.1, -1.27, 13.95683, 0.67101933, -0.0035656, 3.0834, Leo, 317.89036, 53.00544
1809-Apr-15 00:00, 13 14 00.98, -05 29 02.6, 13 04 10.11, -04 28 20.2, -1.617, 15.38279, 0.60881684, -0.0083142, 5.2207, Vir, 317.88801, 53.00402
1811-Jun-02 12:00, 16 00 10.47, -22 31 00.9, 15 49 04.18, -21 58 09.5, -2.053, 19.09949, 0.49034303, 0.0270137, 7.5936, Sco, 317.88601, 53.0026
1813-Aug-03 00:00, 20 55 28.83, -24 22 21.2, 20 44 31.80, -25 04 19.7, -2.946, 24.70553, 0.37907711, -0.0303052, 5.4593, Cap, 317.88369, 53.00148
1815-Oct-09 18:00, 01 50 21.09, +08 07 23.8, 01 40 40.33, +07 12 16.0, -2.456, 22.00202, 0.42565633, -0.0182901, 7.5859, Psc, 317.88079, 52.99997
1817-Dec-02 00:00, 05 22 52.27, +25 20 27.2, 05 11 40.41, +25 09 16.7, -1.8, 16.85518, 0.5556333, -0.0134581, 6.269, Tau, 317.87879, 52.99848
1820-Jan-13 18:00, 08 10 45.99, +24 25 37.8, 08 00 00.03, +24 56 57.9, -1.365, 14.45021, 0.6481082, -0.0036058, 3.7327, Cnc, 317.87664, 52.99736
1822-Feb-20 00:00, 10 23 43.79, +14 48 49.6, 10 14 11.67, +15 42 26.6, -1.258, 13.82275, 0.67752813, -0.0016573, 2.7084, Leo, 317.87421, 52.99619
1824-Mar-29 18:00, 12 23 55.15, +00 50 03.4, 12 14 57.70, +01 48 19.9, -1.396, 14.61238, 0.64091524, 0.0030923, 4.28, Vir, 317.87177, 52.99483
1826-May-13 00:00, 14 45 26.48, -15 59 30.0, 14 35 53.30, -15 15 17.5, -1.855, 17.28087, 0.54194609, -0.0294539, 6.6776, Lib, 317.86963, 52.99338
1828-Jul-08 00:00, 18 42 57.38, -28 21 13.2, 18 32 09.91, -28 30 23.6, -2.656, 22.71212, 0.41234816, 0.0032842, 7.1808, Sgr, 317.86761, 52.99214
1830-Sep-14 12:00, 00 08 53.55, -05 00 03.8, 00 00 14.51, -05 56 31.3, -2.788, 24.22053, 0.38666786, -0.0004771, 6.166, Psc, 317.86469, 52.99089
