_RAJ2000,_DEJ2000,HIP,Vmag,Plx,B-V,pc,target_blind,target_deep,has_planets,SPOCS,HD Name,Rstar,Rstar_source,Teff,Teff_source,logg,logg_source,__M_H_,__M_H__source,Vsini,Vsini_source,Mstar,Mstar_source,Vmac,Vmac_source,Comments,Other Name,MK,S,S_source,logRHK,logRHK_source
209.38358,61.492863,68184,6.49,98.97,1.04,10.104072,true,false,false,585,HD 122064,0.802,SPOCS,4757,SPOCS,4.58,SPOCS,0.1,SPOCS,1.3,SPOCS,0.89,SPOCS,,,Have not checked for companions,,K3V,0.235,Wright 2004,,
224.36667,-21.415476,73184,5.72,169.32,1.024,5.905977,false,true,false,627,HD 131977,0.6754,SPOCS,4744,SPOCS,4.76,SPOCS,0.1,SPOCS,2.6,SPOCS,0.951,SPOCS,,,Have not checked for companions,,K4V,0.485,Schroeder 2009 Classic,,
239.11327,15.661617,78072,3.85,89.92,0.478,11.120996,true,false,false,677,HD 142860,1.447,SPOCS,6262,SPOCS,4.18,SPOCS,-0.14,SPOCS,10.9,SPOCS,1.16,SPOCS,,,Have not checked for companions,,F6IV,0.142,Schroeder 2009 Classic,-4.951,Schroeder 2009 Classic
249.08937,-2.3245835,81300,5.77,102.27,0.827,9.778039,true,false,false,711,HD 149661,0.791,SPOCS,5277,SPOCS,4.57,SPOCS,0.05,SPOCS,2.2,SPOCS,0.853,SPOCS,,,Have not checked for companions,,K1V,0.355,Wright 2004,-4.57,Wright 2004
259.76596,-46.636234,84720,5.47,113.81,0.764,8.786574,true,false,false,746,HD 156274,0.777,SPOCS,5256,SPOCS,4.61,SPOCS,-0.27,SPOCS,0.3,SPOCS,0.901,SPOCS,,,Have not checked for companions,,G8/K0V,0.159,Schroeder 2009 Classic,-5.075,Schroeder 2009 Classic
302.1817,-66.18207,99240,3.55,163.73,0.751,6.1076164,true,false,false,876,HD 190248,1.178,SPOCS,5590,SPOCS,4.31,SPOCS,0.26,SPOCS,2.3,SPOCS,1.045,SPOCS,,,Have not checked for companions,,G8IV,0.148,Schroeder 2009 Classic,-5.136,Schroeder 2009 Classic
302.79974,-36.10121,99461,5.32,165.24,0.868,6.051803,true,false,false,878,HD 191408,0.7422,SPOCS,4922,SPOCS,4.58,SPOCS,-0.33,SPOCS,2.7,SPOCS,0.766,SPOCS,,,Double; HD 191408B has limited data.,,K2.5V,,,,
348.32074,57.168354,114622,5.57,153.24,1,6.525711,true,false,false,1008,HD 219134,0.751,SPOCS,4835,SPOCS,4.56,SPOCS,0.09,SPOCS,1.8,SPOCS,0.749,SPOCS,,,Have not checked for companions,,K3V,,,,
53.232685,-9.458262,16537,3.72,310.75,0.881,3.218021,false,true,true,171,HD 22049,0.7188,SPOCS,5146,SPOCS,4.57,SPOCS,0,SPOCS,2.4,SPOCS,0.708,SPOCS,,,Single?,eps Eri,K2V,0.43,SPOCS Extended,-4.53,SPOCS Extended
86.11579,-22.448381,27072,3.59,111.49,0.481,8.969415,true,false,false,,HD 38393,1.2,CADARS,6241,SEEDS,4.19,SEEDS,-0.16,SEEDS,8.9,Glebocki 2005,1.4,Guess,,,Single?,gam Lep,F6V,,,,
