_RAJ2000,_DEJ2000,RAhms,DEdms,pc,HIP_2,HD_2,mag,B-V,eB-V,plx,eplx,Ref_plx,Mv,category,MK,Ref_SpT,BCv_2,Mbol,log(L/Lsun),Habex,HIP_2a,L-A,L-B,Hab,SR1,SR3,lists_2,logR'HK,RefR'HK,kms,RefVsini,Msun,SpT,HIP_2b,Teff,HD_2a,notes,K,eTeff,ref_Teff,BCv_2a,cms,elog(g),ref_logg,Sun,e[Fe/H],ref_FeH,Rsun,Solar Twin?,N(<6500K),N(vsini),N(F7-K9),lists_2a,Sample,Name,solRad
53.232685,-9.458262,03 32 56.42,-09 27 29.9,3.216,HIP_16537_,HD_22049_,3.72,0.881,0.007,310.94,0.16,HIP2,6.18,Sun-like,K2V,1989ApJS...71..245K,-0.26,5.92,-0.473,2,HIP_16537_,1,1,2,1,1,6,-4.455,Baliunas96,1.9,Glebocki05,0.78,K2V,HIP_16537_,0,HD_22049_,active,5050,42,2014A&A...564A.133J,,4.6,0.03,2014A&A...564A.133J,-0.09,0.01,2014A&A...564A.133J,0.758,0,1,2,1,6,MUST,HIP_16537,0.688759539990568
249.08937,-2.3245835,16 36 21.18,-02 19 25.8,9.92,HIP_81300_,HD_149661_,5.77,0.827,0.012,100.8111,0.0788,GaiaDR2,5.79,Sun-like,K0V(k),2006AJ....132..161G,-0.19,5.6,-0.343,44,HIP_81300_,1,1,2,0,0,4,-4.583,Baliunas96,1.6,Glebocki05,0.87,K0V(k),HIP_81300_,1,HD_149661_,active,5248,38,2013ApJ...764...78R,,4.55,0.02,2013ApJ...764...78R,0.01,0.07,2013ApJ...764...78R,0.815,0,1,2,1,4,MUST,HIP_81300,0.772800914445948
199.21272,17.017183,13 16 50.67,+17 01 04.1,10.985,HIP_64797_,HD_115404_,6.49,0.926,0.003,91.0325,0.0365,GaiaDR2,6.29,Sun-like,K2.5V(k),2003AJ....126.2048G,-0.315,5.97,-0.492,_,HIP_64797_,1,1,0,0,0,2,-4.48,Baliunas96,3.3,Glebocki05,0.76,K2.5V(k),HIP_64797_,1,HD_115404_,active,5081,65,2013ApJ...764...78R,,4.62,0.03,2013ApJ...764...78R,-0.16,0.06,2013ApJ...764...78R,0.732,0,1,2,1,2,MUST,HIP_64797,0.657760254242526
26.936811,63.8525,01 47 44.06,+63 51 11.2,10.043,HIP_8362_,HD_10780_,5.63,0.804,0.01,99.5746,0.0595,GaiaDR2,5.62,Sun-like,G9V,2003AJ....126.2048G,-0.16,5.46,-0.288,45,HIP_8362_,1,0,2,0,0,3,-4.681,Baliunas96,0.9,Glebocki05,0.9,G9V,HIP_8362_,1,HD_10780_,active,5354,67,2013ApJ...764...78R,,4.53,0.04,2013ApJ...764...78R,0.03,0.05,2013ApJ...764...78R,0.834,0,1,2,1,3,MUST,HIP_8362,0.809221899476192
39.02039,6.8868704,02 36 03.83,+06 53 00.1,7.235,HIP_12114_,HD_16160_,5.79,0.918,0.019,138.2084,0.1436,GaiaDR2,6.49,Sun-like,K3V,1989ApJS...71..245K,-0.37,6.12,-0.553,22,HIP_12114_,1,1,2,0,0,4,-4.958,Baliunas96,1.3,Glebocki05,0.75,K3V,HIP_12114_,1,HD_16160_,quiet,4829,6,2012A&A...547A.106M,,4.6,0.2,2012A&A...547A.106M,-0.16,0.05,2012A&A...547A.106M,0.756,0,1,2,1,4,MUST,HIP_12114,0.688759539990568
103.82778,25.375698,06 55 18.69,+25 22 32.3,17.47,HIP_33277_,HD_50692_,5.74,0.573,0.01,57.2425,0.1005,GaiaDR2,4.53,Sun-like,G0V,2003AJ....126.2048G,-0.065,4.46,0.111,_,HIP_33277_,1,1,0,0,0,2,-4.96,Radick18,2.9,Glebocki05,1.08,G0V,HIP_33277_,1,HD_50692_,quiet,5891,44,2005ApJS..159..141V,,4.36,0.06,2005ApJS..159..141V,-0.18,0.03,2005ApJS..159..141V,1.09,0,1,2,1,2,MUST,HIP_33277,1.19692689940465
55.81209,-9.763394,03 43 14.96,-09 45 54.7,9.041,HIP_17378_,HD_23249_,3.52,0.915,0.018,110.61,0.22,HIP2,3.74,Sun-like,K0+IV,1989ApJS...71..245K,-0.19,3.55,0.476,36,HIP_17378_,1,1,2,0,0,4,-5.184,Baliunas96,1,Glebocki05,0.87,K0+IV,HIP_17378_,0,HD_23249_,quiet,5144,33,2015A&A...574A..50J,,3.95,0.05,2015A&A...574A..50J,0.0,0.04,2015A&A...574A..50J,2.179,0,1,2,1,4,MUST,HIP_17378,3.07657585451231
298.8283,6.4067636,19 55 18.77,+06 24 28.6,13.699,HIP_98036_,HD_188512_,3.71,0.855,0.007,73.0,0.2,HIP2,3.03,Sun-like,G8IV,1989ApJS...71..245K,-0.14,2.89,0.741,79,HIP_98036_,1,1,1,0,0,3,-5.173,Baliunas96,2.7,Glebocki05,0.94,G8IV,HIP_98036_,1,HD_188512_,quiet,5223,26,2015A&A...574A..50J,,3.86,0.04,2015A&A...574A..50J,-0.17,0.05,2015A&A...574A..50J,2.867,0,1,2,1,3,MUST,HIP_98036,3.78501519484192
150.25273,31.923672,10 01 01.02,+31 55 29.0,14.926,HIP_49081_,HD_86728_,5.37,0.676,0.004,66.9958,0.2141,GaiaDR2,4.5,Sun-like,G3Va_Hdel1,1989ApJS...71..245K,-0.095,4.41,0.134,97,HIP_49081_,1,1,1,0,0,3,-5.13,Radick18,1.8,Glebocki05,1.0,G3Va_Hdel1,HIP_49081_,1,HD_86728_,quiet,5753,41,2010MNRAS.403.1368G,,4.3,0.04,2010MNRAS.403.1368G,0.26,0.03,2010MNRAS.403.1368G,1.174,0,1,2,1,3,MUST,HIP_49081,1.37425595421848
12.095738,5.280615,00 48 22.53,+05 17 00.2,7.435,HIP_3765_,HD_4628_,5.74,0.89,0.008,134.499,0.089,GaiaDR2,6.38,Sun-like,K2V,2003AJ....126.2048G,-0.26,6.12,-0.553,23,HIP_3765_,1,1,2,0,0,4,-4.852,Baliunas96,1.8,Glebocki05,0.78,K2V,HIP_3765_,1,HD_4628_,slightly active,5015,58,2013ApJ...764...78R,,4.6,0.02,2013ApJ...764...78R,-0.31,0.05,2013ApJ...764...78R,0.7,0,1,2,1,4,MUST,HIP_3765,0.688759539990568
49.8404,3.370198,03 19 21.54,+03 22 11.9,9.14,HIP_15457_,HD_20630_,4.84,0.681,0.006,109.41,0.27,HIP2,5.04,Sun-like,G5V,1989ApJS...71..245K,-0.105,4.93,-0.076,37,HIP_15457_,1,1,2,0,0,4,-4.42,Baliunas96,4.5,Glebocki05,0.98,G5V,HIP_15457_,0,HD_20630_,active,5749,26,2010MNRAS.403.1368G,,4.51,0.05,2010MNRAS.403.1368G,0.08,0.02,2010MNRAS.403.1368G,0.923,1,1,2,1,4,MUST,HIP_15457,0.847359352649497
75.20417,-5.7536755,05 00 48.68,-05 45 03.5,8.848,HIP_23311_,HD_32147_,6.22,1.049,0.011,113.0236,0.0324,GaiaDR2,6.49,Sun-like,K3+V,2003AJ....126.2048G,-0.37,6.12,-0.55,34,HIP_23311_,1,1,2,0,0,4,-4.948,Baliunas96,1.4,Glebocki05,0.75,K3+V,HIP_23311_,1,HD_32147_,quiet,4745,42,2013ApJ...764...78R,,4.57,0.02,2013ApJ...764...78R,0.19,0.08,2013ApJ...764...78R,0.785,0,1,2,1,4,MUST,HIP_23311,0.738019143766466
175.26256,34.201637,11 41 03.03,+34 12 09.2,9.579,HIP_56997_,HD_101501_,5.31,0.723,0.014,104.3904,0.1287,GaiaDR2,5.4,Sun-like,G8V,1989ApJS...71..245K,-0.14,5.26,-0.209,43,HIP_56997_,1,1,2,0,0,4,-4.546,Baliunas96,2.3,Glebocki05,0.94,G8V,HIP_56997_,1,HD_101501_,active,5528,37,2013ApJ...764...78R,,4.53,0.02,2013ApJ...764...78R,-0.05,0.05,2013ApJ...764...78R,0.857,0,1,2,1,4,MUST,HIP_56997,0.809221899476192
54.21826,0.4016616,03 36 52.52,+00 24 10.2,13.963,HIP_16852_,HD_22484_,4.29,0.575,0.008,71.62,0.54,HIP2,3.57,Sun-like,F9IV-V,1989ApJS...71..245K,-0.05,3.52,0.49,85,HIP_16852_,1,1,1,0,0,3,-5.12,Wright04,3.7,Glebocki05,1.14,F9IV-V,HIP_16852_,1,HD_22484_,quiet,5971,50,2013ApJ...764...78R,,4.06,0.02,2013ApJ...764...78R,-0.09,0.03,2013ApJ...764...78R,1.643,0,1,2,1,3,MUST,HIP_16852,2.38818313615464
